block,spatial_ref,quantile,current_radiance,matched_baseline_radiance,recovery_pct,recovery_low_pct,recovery_high_pct,spatial_coverage_pct,valid_pixel_count,date_start,date_end,date_mid,mean_ntl,observation_status,unit_name,unit_type,method,aggregation_days,ghsl_mask,sc_threshold_pct,baseline_start,baseline_end,baseline_days,baseline_definition
-45,0,0.95,784.7491,542.6963,144.60188,125.64250183105469,169.00924682617188,100.0,147,2013-05-12,2013-05-15,2013-05-13 12:00:00,5.3384291460724915,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-44,0,0.95,579.1647,542.6963,106.71986,92.72734832763672,124.73310852050781,100.0,147,2013-05-16,2013-05-19,2013-05-17 12:00:00,3.9398957336840987,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-43,0,0.95,564.6946,542.6963,104.05351,90.41060638427734,121.61671447753906,100.0,147,2013-05-20,2013-05-23,2013-05-21 12:00:00,3.841459728422619,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-42,0,0.95,684.47784,539.322,126.9145,110.4498291015625,148.23178100585938,98.63945578231292,145,2013-05-24,2013-05-27,2013-05-25 12:00:00,4.720536856815733,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-41,0,0.95,875.81213,439.49976,199.27477,176.14776611328125,229.63638305664062,71.42857142857143,105,2013-05-28,2013-05-31,2013-05-29 12:00:00,8.341067940848214,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-40,0,0.95,83.88847,123.16466,68.11083,61.104148864746094,77.44091796875,17.687074829931973,26,2013-06-01,2013-06-04,2013-06-02 12:00:00,3.2264797504131613,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-39,0,0.95,,,,,,0.0,0,2013-06-05,2013-06-08,2013-06-06 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-38,0,0.95,,,,,,0.0,0,2013-06-09,2013-06-12,2013-06-10 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-37,0,0.95,,,,,,0.0,0,2013-06-13,2013-06-16,2013-06-14 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-36,0,0.95,,,,,,0.0,0,2013-06-17,2013-06-20,2013-06-18 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-35,0,0.95,404.75916,518.5746,78.05225,67.70784759521484,91.5289535522461,95.91836734693878,141,2013-06-21,2013-06-24,2013-06-22 12:00:00,2.870632306903812,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-34,0,0.95,,,,,,0.0,0,2013-06-25,2013-06-28,2013-06-26 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-33,0,0.95,589.9872,538.0131,109.66037,95.3972396850586,127.83909606933594,99.31972789115646,146,2013-06-29,2013-07-02,2013-06-30 12:00:00,4.041008100117723,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-32,0,0.95,455.33334,531.15894,85.7245,74.63922119140625,99.74271392822266,95.23809523809524,140,2013-07-03,2013-07-06,2013-07-04 12:00:00,3.252381025041853,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-31,0,0.95,580.92114,542.6963,107.0435,93.00856018066406,125.11138916015625,100.0,147,2013-07-07,2013-07-10,2013-07-08 12:00:00,3.9518445073341835,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-30,0,0.95,19.335018,25.36006,76.242004,52.16965103149414,110.9814682006836,15.646258503401361,23,2013-07-11,2013-07-14,2013-07-12 12:00:00,0.8406529633895211,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-29,0,0.95,463.02936,542.6963,85.32017,74.13346862792969,99.72136688232422,100.0,147,2013-07-15,2013-07-18,2013-07-16 12:00:00,3.1498595776201106,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-28,0,0.95,528.3145,457.52692,115.471794,100.39974975585938,134.9850311279297,85.03401360544218,125,2013-07-19,2013-07-22,2013-07-20 12:00:00,4.22651611328125,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-27,0,0.95,61.15954,107.88661,56.688717,48.42803955078125,67.03240203857422,20.408163265306122,30,2013-07-23,2013-07-26,2013-07-24 12:00:00,2.0386512756347654,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-26,0,0.95,,,,,,0.0,0,2013-07-27,2013-07-30,2013-07-28 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-25,0,0.95,,,,,,0.0,0,2013-07-31,2013-08-03,2013-08-01 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-24,0,0.95,23.107525,33.795784,68.373985,52.30744934082031,93.66429901123047,17.006802721088434,25,2013-08-04,2013-08-07,2013-08-05 12:00:00,0.9243009948730468,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-23,0,0.95,,,,,,0.0,0,2013-08-08,2013-08-11,2013-08-09 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-22,0,0.95,,,,,,0.0,0,2013-08-12,2013-08-15,2013-08-13 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-21,0,0.95,,,,,,0.0,0,2013-08-16,2013-08-19,2013-08-17 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-20,0,0.95,,,,,,0.0,0,2013-08-20,2013-08-23,2013-08-21 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-19,0,0.95,,,,,,0.0,0,2013-08-24,2013-08-27,2013-08-25 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-18,0,0.95,608.28516,542.6963,112.08574,97.38968658447266,131.00469970703125,100.0,147,2013-08-28,2013-08-31,2013-08-29 12:00:00,4.137994260204081,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-17,0,0.95,515.1963,542.6963,94.93271,82.48566436767578,110.95640563964844,100.0,147,2013-09-01,2013-09-04,2013-09-02 12:00:00,3.5047366602891157,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-16,0,0.95,578.3619,542.6963,106.57192,92.59881591796875,124.5602035522461,100.0,147,2013-09-05,2013-09-08,2013-09-06 12:00:00,3.9344345404177297,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-15,0,0.95,60.962128,55.267723,110.303314,79.55870056152344,155.23291015625,26.53061224489796,39,2013-09-09,2013-09-12,2013-09-10 12:00:00,1.5631314791165865,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-14,0,0.95,487.2152,536.80035,90.76283,78.87032318115234,106.0616226196289,98.63945578231292,145,2013-09-13,2013-09-16,2013-09-14 12:00:00,3.3601048962823277,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-13,0,0.95,,,,,,0.0,0,2013-09-17,2013-09-20,2013-09-18 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-12,0,0.95,,,,,,0.0,0,2013-09-21,2013-09-24,2013-09-22 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-11,0,0.95,535.22504,514.01935,104.125465,90.07408905029297,122.10828399658203,95.91836734693878,141,2013-09-25,2013-09-28,2013-09-26 12:00:00,3.795922245539672,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-10,0,0.95,,,,,,0.0,0,2013-09-29,2013-10-02,2013-09-30 12:00:00,,not observable,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-9,0,0.95,743.6218,441.05737,168.5998,144.83377075195312,198.52284240722656,83.6734693877551,123,2013-10-03,2013-10-06,2013-10-04 12:00:00,6.0457059038363825,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-8,0,0.95,31.286747,21.596943,144.86656,105.32276153564453,220.4403076171875,13.605442176870747,20,2013-10-07,2013-10-10,2013-10-08 12:00:00,1.5643373489379884,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-7,0,0.95,506.0263,542.6963,93.243,81.01750183105469,108.98149108886719,100.0,147,2013-10-11,2013-10-14,2013-10-12 12:00:00,3.442355824165604,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
-6,0,0.95,546.5238,541.2551,100.97342,87.86345672607422,117.99076843261719,99.31972789115646,146,2013-10-15,2013-10-18,2013-10-16 12:00:00,3.743313724047517,observed,Tacloban City,City/municipality,Reliability-qualified DNB-BRDF,4,G3,10.0,2013-09-09,2013-11-07,60,per-pixel median of complete reliability-qualified composites within the 60 days before Haiyan
