unit_name,unit_type,aggregation_days,ghsl_mask,ghsl_classes,sc_threshold_pct,baseline_start,baseline_end,baseline_blocks,minimum_baseline_observations,fixed_baseline_pixels,median_baseline_coverage_pct
Tacloban City,City/municipality,1,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,60,5,147,0.0
Tacloban City,City/municipality,4,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,15,3,147,26.53061224489796
Palo,City/municipality,1,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,60,5,102,0.0
Palo,City/municipality,4,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,15,3,102,71.56862745098039
Tolosa,City/municipality,1,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,60,5,24,0.0
Tolosa,City/municipality,4,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,15,3,24,37.5
Dulag,City/municipality,1,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,60,5,42,0.0
Dulag,City/municipality,4,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,15,3,42,35.714285714285715
Alangalang,City/municipality,1,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,60,5,42,0.0
Alangalang,City/municipality,4,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,15,3,42,92.85714285714286
Basey,City/municipality,1,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,60,5,51,0.0
Basey,City/municipality,4,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,15,3,51,33.333333333333336
Guiuan,City/municipality,1,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,60,5,20,0.0
Guiuan,City/municipality,4,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,15,3,29,0.0
Ormoc City,City/municipality,1,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,60,5,200,0.0
Ormoc City,City/municipality,4,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,15,3,200,9.5
Baybay City,City/municipality,1,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,60,5,89,0.0
Baybay City,City/municipality,4,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,15,3,90,25.555555555555557
Borongan City,City/municipality,1,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,60,5,57,0.0
Borongan City,City/municipality,4,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,15,3,58,72.41379310344827
Calbayog City,City/municipality,1,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,60,5,134,0.0
Calbayog City,City/municipality,4,G3,"(22, 23, 30)",10.0,2013-09-09,2013-11-07,15,3,134,61.940298507462686
