unit_name,unit_type,ghsl_mask,ghsl_classes,sc_threshold_pct,baseline_start,baseline_end,impact_date,impact_recovery_pct,impact_drop_pct,impact_drop_range_pct,recovery_slope_pct_per_day,observed_days_below_baseline,stage3_stability_mad_pct,stage3_within_90_110_pct,median_event_sc_pct,minimum_event_sc_pct,retained_composites,expected_composites,retained_pct,max_gap_days,observability,quality_flag,T50_day,T50_observation_interval,T50_baseline_range,T50_status,T80_day,T80_observation_interval,T80_baseline_range,T80_status,T90_day,T90_observation_interval,T90_baseline_range,T90_status
Alangalang,City/municipality,G2,"(23, 30)",10.0,2013-09-09,2013-11-07,2013-11-16,7.353688716888428,92.64631128311157,89.3–95.4,0.3589890864577703,184,35.05999755859375,7.6923076923076925,100.0,0.0,70,91,76.92307692307692,16,interpretable with interval timing,OBS_OK,104,104–104 d,20–104 d,supported; interval-censored,104.0,104–104 d,104–164 d,supported; interval-censored,136.0,132–136 d,104–196 d,supported; interval-censored
Basey,City/municipality,G2,"(23, 30)",10.0,2013-09-09,2013-11-07,2013-11-24,14.09955883026123,85.90044116973877,80.6–89.4,0.5534247066380628,212,52.39542007446289,7.6923076923076925,97.05882352941177,0.0,70,91,76.92307692307692,16,interpretable with interval timing,OBS_OK,104,104–104 d,24–104 d,supported; interval-censored,104.0,104–104 d,104–148 d,supported; interval-censored,148.0,148–148 d,104–148 d,supported; interval-censored
Baybay City,City/municipality,G2,"(23, 30)",10.0,2013-09-09,2013-11-07,2013-11-16,11.346796035766602,88.6532039642334,85.4–91.0,3.4367302327320477,132,25.141658782958984,16.666666666666664,93.93939393939394,0.0,69,91,75.82417582417582,16,interpretable with interval timing,OBS_OK,24,24–24 d,20–44 d,supported; interval-censored,44.0,36–44 d,44–104 d,supported; interval-censored,44.0,36–44 d,44–116 d,supported; interval-censored
Borongan City,City/municipality,G2,"(23, 30)",10.0,2013-09-09,2013-11-07,2013-11-28,18.78277587890625,81.21722412109375,75.5–85.2,0.15286300695328464,156,10.133350372314453,50.0,89.1304347826087,0.0,70,91,76.92307692307692,16,interpretable with interval timing,OBS_OK,24,24–24 d,24–24 d,supported; interval-censored,108.0,108–108 d,24–108 d,supported; interval-censored,108.0,108–108 d,24–168 d,supported; interval-censored
Calbayog City,City/municipality,G2,"(23, 30)",10.0,2013-09-09,2013-11-07,2013-11-12,12.36139965057373,87.63860034942627,83.6–90.9,0.4927660056942911,196,18.36652374267578,35.714285714285715,92.7927927927928,0.0,73,91,80.21978021978022,24,interpretable with interval timing,OBS_OK,20,20–20 d,20–20 d,supported; interval-censored,44.0,44–44 d,20–148 d,supported; interval-censored,108.0,108–108 d,44–160 d,supported; interval-censored
Dulag,City/municipality,G2,"(23, 30)",10.0,2013-09-09,2013-11-07,2013-11-16,1.5973796844482422,98.40262031555176,97.8–98.9,0.4292612334767506,208,25.828907012939453,16.666666666666664,94.44444444444444,0.0,67,91,73.62637362637362,16,interpretable with interval timing,OBS_OK,84,84–84 d,20–84 d,supported; interval-censored,108.0,108–108 d,84–144 d,supported; interval-censored,116.0,116–116 d,≥84 d; conservative crossing absent,supported; interval-censored
Guiuan,City/municipality,G2,"(23, 30)",10.0,2013-09-09,2013-11-07,2013-11-08,9.040339469909668,90.95966053009033,88.4–93.0,0.08853752736459956,236,9.445808410644531,8.333333333333332,86.20689655172414,0.0,65,91,71.42857142857143,20,interpretable with interval timing,OBS_OK,20,20–20 d,20–20 d,supported; interval-censored,104.0,104–104 d,20–344 d,supported; interval-censored,344.0,344–344 d,≥20 d; conservative crossing absent,supported; interval-censored
Ormoc City,City/municipality,G2,"(23, 30)",10.0,2013-09-09,2013-11-07,2013-11-08,13.125042915344238,86.87495708465576,83.9–89.5,0.3315552369943108,260,21.747066497802734,15.384615384615385,96.02649006622516,0.0,74,91,81.31868131868131,12,interpretable with interval timing,OBS_OK,104,104–104 d,20–104 d,supported; interval-censored,164.0,164–164 d,116–168 d,supported; interval-censored,168.0,168–168 d,≥116 d; conservative crossing absent,supported; interval-censored
Palo,City/municipality,G2,"(23, 30)",10.0,2013-09-09,2013-11-07,2013-11-08,13.081441879272461,86.91855812072754,82.2–90.4,0.2998666769204268,224,17.885421752929688,7.6923076923076925,96.07843137254902,0.0,71,91,78.02197802197803,16,interpretable with interval timing,OBS_OK,104,104–104 d,24–140 d,supported; interval-censored,148.0,148–148 d,104–148 d,supported; interval-censored,148.0,148–148 d,140–148 d,supported; interval-censored
Tacloban City,City/municipality,G2,"(23, 30)",10.0,2013-09-09,2013-11-07,2013-11-08,6.638830661773682,93.36116933822632,92.1–94.4,0.1632563128007963,272,12.385659217834473,0.0,94.5578231292517,0.0,70,91,76.92307692307692,16,interpretable with interval timing,OBS_OK,148,148–148 d,140–148 d,supported; interval-censored,,,≥148 d; conservative crossing absent,not recovered by 363 d,,,≥356 d; conservative crossing absent,not recovered by 363 d
Tolosa,City/municipality,G2,"(23, 30)",10.0,2013-09-09,2013-11-07,2013-11-16,9.25438404083252,90.74561595916748,87.1–92.9,0.2910977374995909,180,33.17277145385742,8.333333333333332,100.0,0.0,67,91,73.62637362637362,16,interpretable with interval timing,OBS_OK,88,88–88 d,24–116 d,supported; interval-censored,116.0,116–116 d,88–164 d,supported; interval-censored,164.0,164–164 d,116–164 d,supported; interval-censored
