unit_name,unit_type,metric_definition,ghsl_mask,ghsl_classes,sc_threshold_pct,baseline_days,baseline_start,baseline_end,impact_date,impact_block,impact_recovery_pct,impact_drop_pct,impact_drop_range_pct,recovery_slope_pct_per_day,observed_days_below_baseline,stage3_stability_mad_pct,stage3_within_90_110_pct,median_event_sc_pct,minimum_event_sc_pct,retained_composites,expected_composites,retained_pct,max_gap_days,observability,quality_flag,T50_threshold_lost,T50_day,T50_observation_interval,T50_baseline_range,T50_status,T80_threshold_lost,T80_day,T80_observation_interval,T80_baseline_range,T80_status,T90_threshold_lost,T90_day,T90_observation_interval,T90_baseline_range,T90_status
Alangalang,City/municipality,persistent return to 50/80/90% of the matched 60-day baseline after the observed 0–59 day nadir,G3,"(22, 23, 30)",10.0,60,2013-09-09,2013-11-07,2013-12-14,9,8.571467399597168,91.42853260040283,87.6–94.5,0.46955158825673615,192,33.33708953857422,15.384615384615385,100.0,0.0,73,91,80.21978021978022,16,interpretable with interval timing,OBS_OK,True,52,52–52 d,48–104 d,supported; persistent return after observed nadir,True,104,104–104 d,104–164 d,supported; persistent return after observed nadir,True,116,116–116 d,104–164 d,supported; persistent return after observed nadir
Basey,City/municipality,persistent return to 50/80/90% of the matched 60-day baseline after the observed 0–59 day nadir,G3,"(22, 23, 30)",10.0,60,2013-09-09,2013-11-07,2013-12-18,10,2.762712001800537,97.23728799819946,95.6–98.1,0.4257620255023339,212,30.72704315185547,7.6923076923076925,98.03921568627452,0.0,72,91,79.12087912087912,16,interpretable with interval timing,OBS_OK,True,104,104–104 d,44–104 d,supported; persistent return after observed nadir,True,104,104–104 d,104–148 d,supported; persistent return after observed nadir,True,136,132–136 d,104–148 d,supported; persistent return after observed nadir
Baybay City,City/municipality,persistent return to 50/80/90% of the matched 60-day baseline after the observed 0–59 day nadir,G3,"(22, 23, 30)",10.0,60,2013-09-09,2013-11-07,2013-11-16,2,14.442397117614746,85.55760288238525,80.9–88.8,0.35579500826455274,156,30.667316436767578,25.0,90.0,0.0,70,91,76.92307692307692,16,interpretable with interval timing,OBS_OK,True,32,32–32 d,16–32 d,supported; persistent return after observed nadir,True,44,36–44 d,32–116 d,supported; persistent return after observed nadir,True,108,108–108 d,32–116 d,supported; persistent return after observed nadir
Borongan City,City/municipality,persistent return to 50/80/90% of the matched 60-day baseline after the observed 0–59 day nadir,G3,"(22, 23, 30)",10.0,60,2013-09-09,2013-11-07,2013-11-12,1,21.48839569091797,78.51160430908203,70.4–84.5,0.1783573174802409,156,21.443283081054688,30.76923076923077,91.37931034482759,0.0,74,91,81.31868131868131,16,interpretable with interval timing,OBS_OK,True,24,24–24 d,24–24 d,supported; persistent return after observed nadir,True,108,108–108 d,24–108 d,supported; persistent return after observed nadir,True,108,108–108 d,24–116 d,supported; persistent return after observed nadir
Calbayog City,City/municipality,persistent return to 50/80/90% of the matched 60-day baseline after the observed 0–59 day nadir,G3,"(22, 23, 30)",10.0,60,2013-09-09,2013-11-07,2013-11-12,1,10.360007286071777,89.63999271392822,86.0–92.2,0.413429846502593,188,22.101421356201172,28.57142857142857,94.02985074626865,0.0,74,91,81.31868131868131,12,interpretable with interval timing,OBS_OK,True,20,20–20 d,20–20 d,supported; persistent return after observed nadir,True,44,44–44 d,20–116 d,supported; persistent return after observed nadir,True,108,108–108 d,44–160 d,supported; persistent return after observed nadir
Dulag,City/municipality,persistent return to 50/80/90% of the matched 60-day baseline after the observed 0–59 day nadir,G3,"(22, 23, 30)",10.0,60,2013-09-09,2013-11-07,2013-11-16,2,7.4886908531188965,92.5113091468811,89.6–94.6,0.2933992316420985,192,24.283470153808594,33.33333333333333,95.23809523809524,0.0,68,91,74.72527472527473,16,interpretable with interval timing,OBS_OK,True,84,84–84 d,16–88 d,supported; persistent return after observed nadir,True,116,116–116 d,88–196 d,supported; persistent return after observed nadir,True,144,144–144 d,88–284 d,supported; persistent return after observed nadir
Guiuan,City/municipality,persistent return to 50/80/90% of the matched 60-day baseline after the observed 0–59 day nadir,G3,"(22, 23, 30)",10.0,60,2013-09-09,2013-11-07,2013-11-08,0,9.088164329528809,90.91183567047119,88.2–93.0,0.1198159779704532,244,9.200653076171875,8.333333333333332,86.20689655172414,0.0,65,91,71.42857142857143,20,interpretable with interval timing,OBS_OK,True,20,20–20 d,20–108 d,supported; persistent return after observed nadir,True,284,284–284 d,20–344 d,supported; persistent return after observed nadir,True,344,344–344 d,≥108 d; conservative crossing absent,supported; persistent return after observed nadir
Ormoc City,City/municipality,persistent return to 50/80/90% of the matched 60-day baseline after the observed 0–59 day nadir,G3,"(22, 23, 30)",10.0,60,2013-09-09,2013-11-07,2013-11-16,2,13.653904914855957,86.34609508514404,82.6–89.2,0.2800842014921535,260,20.914005279541016,23.076923076923077,96.5,0.0,74,91,81.31868131868131,12,interpretable with interval timing,OBS_OK,True,104,104–104 d,20–116 d,supported; persistent return after observed nadir,True,164,164–164 d,116–168 d,supported; persistent return after observed nadir,True,164,164–164 d,≥116 d; conservative crossing absent,supported; persistent return after observed nadir
Palo,City/municipality,persistent return to 50/80/90% of the matched 60-day baseline after the observed 0–59 day nadir,G3,"(22, 23, 30)",10.0,60,2013-09-09,2013-11-07,2013-11-08,0,14.075651168823242,85.92434883117676,81.9–89.3,0.31858877406705394,228,21.188827514648438,15.384615384615385,96.07843137254902,0.0,71,91,78.02197802197803,16,interpretable with interval timing,OBS_OK,True,104,104–104 d,24–140 d,supported; persistent return after observed nadir,True,148,148–148 d,116–148 d,supported; persistent return after observed nadir,True,148,148–148 d,140–148 d,supported; persistent return after observed nadir
Tacloban City,City/municipality,persistent return to 50/80/90% of the matched 60-day baseline after the observed 0–59 day nadir,G3,"(22, 23, 30)",10.0,60,2013-09-09,2013-11-07,2013-11-08,0,7.5677947998046875,92.43220520019531,91.2–93.4,0.24083759572594432,264,14.73823356628418,14.285714285714285,94.5578231292517,0.0,70,91,76.92307692307692,16,interpretable with interval timing,OBS_OK,True,140,140–140 d,116–148 d,supported; persistent return after observed nadir,True,148,148–148 d,148–148 d,supported; persistent return after observed nadir,True,148,148–148 d,≥148 d; conservative crossing absent,supported; persistent return after observed nadir
