unit_name,stage,expected_composites,observed_composites,retained_pct,median_recovery_pct,recovery_q25_pct,recovery_q75_pct,median_sc_pct,minimum_sc_pct,not_observable_composites
Alangalang,Baseline,15,11,73.33333333333333,98.55062,83.01694107055664,143.92689514160156,93.33333333333333,0.0,4
Alangalang,Stage 1 (0–59 d),15,12,80.0,25.920406,19.216266870498657,43.029879570007324,100.0,0.0,3
Alangalang,Stage 2 (60–119 d),15,11,73.33333333333333,59.754025,34.54064083099365,79.03704452514648,100.0,0.0,4
Alangalang,Stage 3 (120–179 d),15,13,86.66666666666667,116.602646,80.2518310546875,138.68519592285156,100.0,0.0,2
Alangalang,Extended (180–363 d),46,34,73.91304347826087,100.8253,70.54894828796387,148.30590438842773,96.66666666666667,0.0,12
Basey,Baseline,15,9,60.0,101.57691,99.33381652832031,121.58576965332031,47.05882352941177,0.0,6
Basey,Stage 1 (0–59 d),15,13,86.66666666666667,23.838573,19.8702335357666,40.6627311706543,97.05882352941177,0.0,2
Basey,Stage 2 (60–119 d),15,11,73.33333333333333,50.235817,30.42615032196045,74.13290786743164,100.0,0.0,4
Basey,Stage 3 (120–179 d),15,13,86.66666666666667,85.97134,75.24698638916016,148.1404266357422,100.0,0.0,2
Basey,Extended (180–363 d),46,33,71.73913043478261,87.66072,42.83667755126953,112.18712615966797,94.11764705882354,0.0,13
Baybay City,Baseline,15,8,53.333333333333336,105.17151,99.30084609985352,114.27886009216309,18.181818181818183,0.0,7
Baybay City,Stage 1 (0–59 d),15,13,86.66666666666667,50.43446,38.0996208190918,75.30679321289062,81.81818181818181,0.0,2
Baybay City,Stage 2 (60–119 d),15,11,73.33333333333333,98.87719,75.40907287597656,121.21465301513672,100.0,0.0,4
Baybay City,Stage 3 (120–179 d),15,12,80.0,122.82306,104.89330291748047,154.77629470825195,100.0,0.0,3
Baybay City,Extended (180–363 d),46,33,71.73913043478261,106.76058,92.42756652832031,149.7413330078125,75.75757575757575,0.0,13
Borongan City,Baseline,15,10,66.66666666666667,104.51906,75.86643600463867,113.28499412536621,80.43478260869566,0.0,5
Borongan City,Stage 1 (0–59 d),15,13,86.66666666666667,49.055523,37.14698791503906,73.4498519897461,80.43478260869566,0.0,2
Borongan City,Stage 2 (60–119 d),15,11,73.33333333333333,67.45443,50.56027030944824,102.34277725219727,93.47826086956522,0.0,4
Borongan City,Stage 3 (120–179 d),15,12,80.0,102.27739,96.82139015197754,129.0474510192871,95.65217391304348,0.0,3
Borongan City,Extended (180–363 d),46,34,73.91304347826087,110.86492,81.86846542358398,139.7222137451172,90.21739130434783,0.0,12
Calbayog City,Baseline,15,9,60.0,102.6649,98.00167083740234,106.73645782470703,56.75675675675676,0.0,6
Calbayog City,Stage 1 (0–59 d),15,14,93.33333333333333,64.79415,21.19063949584961,73.09734725952148,89.1891891891892,0.0,1
Calbayog City,Stage 2 (60–119 d),15,12,80.0,87.43413,64.83917140960693,105.63145637512207,95.49549549549549,0.0,3
Calbayog City,Stage 3 (120–179 d),15,14,93.33333333333333,104.74777,91.24851608276367,123.36952590942383,99.09909909909909,2.7027027027027026,1
Calbayog City,Extended (180–363 d),46,33,71.73913043478261,85.21628,74.33728790283203,109.31048583984375,90.990990990991,0.0,13
Dulag,Baseline,15,8,53.333333333333336,104.66671,77.59723472595215,130.75979232788086,44.44444444444444,0.0,7
Dulag,Stage 1 (0–59 d),15,12,80.0,36.622646,23.720051765441895,49.303162574768066,94.44444444444444,0.0,3
Dulag,Stage 2 (60–119 d),15,11,73.33333333333333,71.890854,45.783010482788086,89.15590286254883,94.44444444444444,0.0,4
Dulag,Stage 3 (120–179 d),15,12,80.0,81.25453,60.024160385131836,105.35789680480957,100.0,0.0,3
Dulag,Extended (180–363 d),46,32,69.56521739130434,77.12654,47.54896831512451,116.51092720031738,77.77777777777777,0.0,14
Guiuan,Baseline,15,6,40.0,97.292984,74.32659530639648,135.53209495544434,0.0,0.0,9
Guiuan,Stage 1 (0–59 d),15,12,80.0,40.798645,20.31723690032959,60.69678497314453,96.55172413793103,0.0,3
Guiuan,Stage 2 (60–119 d),15,10,66.66666666666667,82.38534,59.40722465515137,92.7894344329834,89.65517241379311,0.0,5
Guiuan,Stage 3 (120–179 d),15,12,80.0,74.92993,61.92458724975586,81.96640205383301,93.10344827586206,0.0,3
Guiuan,Extended (180–363 d),46,31,67.3913043478261,77.00583,58.343400955200195,85.66454315185547,75.86206896551724,0.0,15
Ormoc City,Baseline,15,9,60.0,99.80359,82.32569122314453,119.78418731689453,11.920529801324504,0.0,6
Ormoc City,Stage 1 (0–59 d),15,12,80.0,36.898537,17.753456115722656,43.41848373413086,94.70198675496688,0.0,3
Ormoc City,Stage 2 (60–119 d),15,12,80.0,52.245064,36.827412605285645,68.0634994506836,100.0,0.0,3
Ormoc City,Stage 3 (120–179 d),15,13,86.66666666666667,74.89863,53.15156173706055,88.37334442138672,100.0,0.0,2
Ormoc City,Extended (180–363 d),46,37,80.43478260869566,71.61332,60.99504089355469,87.961669921875,83.44370860927152,0.0,9
Palo,Baseline,15,10,66.66666666666667,99.44478,92.93411254882812,110.8585262298584,71.56862745098039,0.0,5
Palo,Stage 1 (0–59 d),15,13,86.66666666666667,37.135063,27.17068099975586,44.27832794189453,93.13725490196079,0.0,2
Palo,Stage 2 (60–119 d),15,11,73.33333333333333,38.110916,24.77075481414795,58.091630935668945,100.0,0.0,4
Palo,Stage 3 (120–179 d),15,13,86.66666666666667,71.13081,56.31344985961914,89.0162353515625,100.0,0.0,2
Palo,Extended (180–363 d),46,34,73.91304347826087,80.384094,68.22369003295898,108.12018013000488,95.09803921568627,0.0,12
Tacloban City,Baseline,15,10,66.66666666666667,98.97121,93.49105072021484,118.90833854675293,26.53061224489796,0.0,5
Tacloban City,Stage 1 (0–59 d),15,13,86.66666666666667,20.888361,17.232099533081055,23.92064666748047,88.43537414965986,0.0,2
Tacloban City,Stage 2 (60–119 d),15,11,73.33333333333333,27.562866,20.536948204040527,36.52710723876953,99.31972789115646,0.0,4
Tacloban City,Stage 3 (120–179 d),15,14,93.33333333333333,44.535564,34.40230941772461,63.69295883178711,100.0,0.0,1
Tacloban City,Extended (180–363 d),46,32,69.56521739130434,57.644505,48.82962894439697,69.32874870300293,89.1156462585034,0.0,14
Tolosa,Baseline,15,9,60.0,90.794876,86.73677062988281,127.90654754638672,37.5,0.0,6
Tolosa,Stage 1 (0–59 d),15,13,86.66666666666667,41.501694,22.98322105407715,48.689598083496094,100.0,0.0,2
Tolosa,Stage 2 (60–119 d),15,11,73.33333333333333,40.959015,33.26249122619629,74.52239227294922,100.0,0.0,4
Tolosa,Stage 3 (120–179 d),15,12,80.0,92.36238,75.06096267700195,125.51583290100098,100.0,0.0,3
Tolosa,Extended (180–363 d),46,31,67.3913043478261,80.31717,41.59377861022949,121.51954650878906,95.83333333333333,0.0,15
