block,spatial_ref,quantile,current_radiance,matched_baseline_radiance,recovery_pct,recovery_low_pct,recovery_high_pct,spatial_coverage_pct,valid_pixel_count,date_start,date_end,date_mid,mean_ntl,observation_status,unit_name,unit_type,method,aggregation_days,ghsl_mask,sc_threshold_pct
-45,0,0.95,158.34386,113.83347,139.10132,122.4623031616211,150.93795776367188,100.0,16,2013-05-12,2013-05-15,2013-05-13 12:00:00,9.896491050720215,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-44,0,0.95,105.820175,113.83347,92.96051,81.84076690673828,100.87085723876953,100.0,16,2013-05-16,2013-05-19,2013-05-17 12:00:00,6.613760948181152,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-43,0,0.95,125.67064,113.83347,110.39867,97.19300842285156,119.79289245605469,100.0,16,2013-05-20,2013-05-23,2013-05-21 12:00:00,7.854414939880371,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-42,0,0.95,152.0024,113.83347,133.53049,117.55784606933594,144.89308166503906,100.0,16,2013-05-24,2013-05-27,2013-05-25 12:00:00,9.500149726867676,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-41,0,0.95,183.53723,98.22286,186.85796,163.72996520996094,200.99777221679688,87.5,14,2013-05-28,2013-05-31,2013-05-29 12:00:00,13.10980224609375,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-40,0,0.95,,,,,,0.0,0,2013-06-01,2013-06-04,2013-06-02 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-39,0,0.95,,,,,,0.0,0,2013-06-05,2013-06-08,2013-06-06 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-38,0,0.95,,,,,,0.0,0,2013-06-09,2013-06-12,2013-06-10 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-37,0,0.95,,,,,,0.0,0,2013-06-13,2013-06-16,2013-06-14 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-36,0,0.95,,,,,,0.0,0,2013-06-17,2013-06-20,2013-06-18 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-35,0,0.95,89.957306,91.555466,98.25443,84.9753646850586,107.83694458007812,81.25,13,2013-06-21,2013-06-24,2013-06-22 12:00:00,6.919792762169471,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-34,0,0.95,,,,,,0.0,0,2013-06-25,2013-06-28,2013-06-26 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-33,0,0.95,130.60416,113.83347,114.73265,101.0085678100586,124.49567413330078,100.0,16,2013-06-29,2013-07-02,2013-06-30 12:00:00,8.162759780883789,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-32,0,0.95,116.28812,113.83347,102.15634,89.93661499023438,110.84920501708984,100.0,16,2013-07-03,2013-07-06,2013-07-04 12:00:00,7.268007278442383,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-31,0,0.95,126.17786,113.83347,110.844246,97.58528900146484,120.2763900756836,100.0,16,2013-07-07,2013-07-10,2013-07-08 12:00:00,7.886116027832031,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-30,0,0.95,,,,,,0.0,0,2013-07-11,2013-07-14,2013-07-12 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-29,0,0.95,77.25775,113.83347,67.8691,59.75074005126953,73.64433288574219,100.0,16,2013-07-15,2013-07-18,2013-07-16 12:00:00,4.828609466552734,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-28,0,0.95,117.44789,85.50827,137.35266,122.35877227783203,148.37257385253906,75.0,12,2013-07-19,2013-07-22,2013-07-20 12:00:00,9.78732426961263,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-27,0,0.95,,,,,,0.0,0,2013-07-23,2013-07-26,2013-07-24 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-26,0,0.95,,,,,,0.0,0,2013-07-27,2013-07-30,2013-07-28 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-25,0,0.95,,,,,,0.0,0,2013-07-31,2013-08-03,2013-08-01 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-24,0,0.95,,,,,,0.0,0,2013-08-04,2013-08-07,2013-08-05 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-23,0,0.95,,,,,,0.0,0,2013-08-08,2013-08-11,2013-08-09 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-22,0,0.95,,,,,,0.0,0,2013-08-12,2013-08-15,2013-08-13 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-21,0,0.95,,,,,,0.0,0,2013-08-16,2013-08-19,2013-08-17 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-20,0,0.95,,,,,,0.0,0,2013-08-20,2013-08-23,2013-08-21 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-19,0,0.95,,,,,,0.0,0,2013-08-24,2013-08-27,2013-08-25 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-18,0,0.95,117.04136,113.83347,102.81805,90.51917266845703,111.56721496582031,100.0,16,2013-08-28,2013-08-31,2013-08-29 12:00:00,7.315084934234619,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-17,0,0.95,116.01598,113.83347,101.91728,89.72615051269531,110.58980560302734,100.0,16,2013-09-01,2013-09-04,2013-09-02 12:00:00,7.2509989738464355,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-16,0,0.95,118.22789,113.83347,103.86039,91.43682861328125,112.69825744628906,100.0,16,2013-09-05,2013-09-08,2013-09-06 12:00:00,7.389243125915527,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-15,0,0.95,,,,,,0.0,0,2013-09-09,2013-09-12,2013-09-10 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-14,0,0.95,105.60794,113.83347,92.77406,81.67662048339844,100.66854858398438,100.0,16,2013-09-13,2013-09-16,2013-09-14 12:00:00,6.600496292114258,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-13,0,0.95,,,,,,0.0,0,2013-09-17,2013-09-20,2013-09-18 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-12,0,0.95,,,,,,0.0,0,2013-09-21,2013-09-24,2013-09-22 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-11,0,0.95,102.47139,91.8254,111.59373,97.20952606201172,123.08382415771484,81.25,13,2013-09-25,2013-09-28,2013-09-26 12:00:00,7.88241459773137,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-10,0,0.95,,,,,,0.0,0,2013-09-29,2013-10-02,2013-09-30 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-9,0,0.95,129.95514,93.49083,139.00308,123.504638671875,150.46400451660156,81.25,13,2013-10-03,2013-10-06,2013-10-04 12:00:00,9.996549166165865,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-8,0,0.95,,,,,,0.0,0,2013-10-07,2013-10-10,2013-10-08 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-7,0,0.95,102.9395,113.83347,90.42991,79.61286926269531,98.12491607666016,100.0,16,2013-10-11,2013-10-14,2013-10-12 12:00:00,6.433718681335449,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-6,0,0.95,116.72415,113.83347,102.53939,90.27384185791016,111.26484680175781,100.0,16,2013-10-15,2013-10-18,2013-10-16 12:00:00,7.295259475708008,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-5,0,0.95,,,,,,0.0,0,2013-10-19,2013-10-22,2013-10-20 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-4,0,0.95,,,,,,0.0,0,2013-10-23,2013-10-26,2013-10-24 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-3,0,0.95,21.694767,29.212765,74.26469,59.07109069824219,83.63361358642578,31.25,5,2013-10-27,2013-10-30,2013-10-28 12:00:00,4.3389533996582035,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-2,0,0.95,124.37276,113.83347,109.25851,96.1892318725586,118.55571746826172,100.0,16,2013-10-31,2013-11-03,2013-11-01 12:00:00,7.773297309875488,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
-1,0,0.95,,,,,,0.0,0,2013-11-04,2013-11-07,2013-11-05 12:00:00,,not observable,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
0,0,0.95,6.295947,113.83347,5.53084,4.8692522048950195,6.001479625701904,100.0,16,2013-11-08,2013-11-11,2013-11-09 12:00:00,0.39349669218063354,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
1,0,0.95,5.8674755,37.582012,15.612457,12.995245933532715,18.115095138549805,37.5,6,2013-11-12,2013-11-15,2013-11-13 12:00:00,0.9779125849405924,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
2,0,0.95,14.399397,76.0251,18.94032,16.36638069152832,20.863887786865234,68.75,11,2013-11-16,2013-11-19,2013-11-17 12:00:00,1.3090360814874822,observed,Tacloban City Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
