Group,Code,Label,Phase,Phase_days,Qualified_days,Temporal_support_pct,Median_SC_all_days,Median_SC_qualified_days,Maximum_gap_days
30,G1,Urban Core,Immediate baseline,83,13,15.66265060240964,0.0,82.18262806236079,16.0
30,G1,Urban Core,Core shock,29,4,13.793103448275861,17.817371937639198,69.48775055679288,12.0
30,G1,Urban Core,Early recovery,69,21,30.434782608695656,10.022271714922049,74.38752783964365,19.0
30,G1,Urban Core,Medium recovery,90,37,41.11111111111111,40.86859688195992,87.52783964365256,14.0
23-30,G2,Dense Urban,Immediate baseline,83,11,13.253012048192772,0.40214477211796246,77.81501340482573,30.0
23-30,G2,Dense Urban,Core shock,29,7,24.137931034482758,18.16353887399464,69.97319034852548,6.0
23-30,G2,Dense Urban,Early recovery,69,17,24.637681159420293,15.013404825737265,73.65951742627345,19.0
23-30,G2,Dense Urban,Medium recovery,90,35,38.88888888888889,43.73324396782842,87.93565683646113,14.0
22-30,G3,Core & Inner,Immediate baseline,83,11,13.253012048192772,0.7907979870596693,80.9489575844716,30.0
22-30,G3,Core & Inner,Core shock,29,7,24.137931034482758,19.12293314162473,66.53486700215672,6.0
22-30,G3,Core & Inner,Early recovery,69,17,24.637681159420293,17.792954708842558,73.22070452911575,19.0
22-30,G3,Core & Inner,Medium recovery,90,36,40.0,46.387491013659236,87.67074047447879,14.0
