Group,Code,Label,Threshold,Baseline_observations,Assessment_observations,Impact_drop_pct,T50_upper_days,T80_upper_days
30,G1,Urban Core,30,17,112,95.08686928144922,35,164.0
30,G1,Urban Core,40,15,97,95.08686928144922,35,164.0
30,G1,Urban Core,50,13,82,95.08686928144922,89,
30,G1,Urban Core,60,13,75,95.08686928144922,89,
30,G1,Urban Core,70,13,59,85.9997570494063,89,
30,G1,Urban Core,80,7,42,66.54207370886374,147,
23-30,G2,Dense Urban,30,18,113,92.535071534884,47,89.0
23-30,G2,Dense Urban,40,16,102,92.69418061286311,78,147.0
23-30,G2,Dense Urban,50,11,82,92.71372791673602,78,147.0
23-30,G2,Dense Urban,60,11,70,92.71372791673602,78,147.0
23-30,G2,Dense Urban,70,9,50,89.95013959435833,78,147.0
23-30,G2,Dense Urban,80,5,37,87.45659868922874,110,143.0
22-30,G3,Core & Inner,30,18,114,91.27622885873903,47,89.0
22-30,G3,Core & Inner,40,15,100,91.54842244789013,47,89.0
22-30,G3,Core & Inner,50,12,88,91.27622885873903,35,89.0
22-30,G3,Core & Inner,60,11,71,90.98591914976511,78,89.0
22-30,G3,Core & Inner,70,9,53,87.28280599365007,78,89.0
22-30,G3,Core & Inner,80,6,37,86.7383092071015,110,115.0
