,Strict observable,Inclusive observable,Cloudy,QF_DNB = 0,Cloud-mask quality,Median |VZA|,UTC time,Moon illumination,Strict radiance,All-valid radiance
Strict observable,1.0,0.9989590319628516,-0.9940794593148441,,-0.10031791349057574,-0.04938044054860112,0.058433274685392944,0.049148378083735365,0.04147384395096681,-0.11223780252919532
Inclusive observable,0.9989590319628516,1.0,-0.9946186111749171,,-0.09637321712417049,-0.06362655488067599,0.05876574447915974,0.05090110839295204,0.04320039873544629,-0.11128264703562342
Cloudy,-0.9940794593148441,-0.9946186111749171,1.0,,0.10209349691636732,0.04069868199103903,-0.054841393869890905,-0.04054163508579044,-0.04836495005907543,0.11782988606658909
QF_DNB = 0,,,,,,,,,,
Cloud-mask quality,-0.10031791349057574,-0.09637321712417049,0.10209349691636732,,1.0,-0.26745683644737955,0.16167776491025665,-0.1490360774030729,-0.11294961458097312,-0.10240597060108064
Median |VZA|,-0.04938044054860112,-0.06362655488067599,0.04069868199103903,,-0.26745683644737955,1.0,-0.0882250056139622,0.008796175549521897,0.16029032014186817,0.14074012525260035
UTC time,0.058433274685392944,0.05876574447915974,-0.054841393869890905,,0.16167776491025665,-0.0882250056139622,1.0,-0.0037902462888502937,0.03346496982200423,0.046495105670760616
Moon illumination,0.049148378083735365,0.05090110839295204,-0.04054163508579044,,-0.1490360774030729,0.008796175549521897,-0.0037902462888502937,1.0,0.8034904840139386,0.789673241023999
Strict radiance,0.04147384395096681,0.04320039873544629,-0.04836495005907543,,-0.11294961458097312,0.16029032014186817,0.03346496982200423,0.8034904840139386,1.0,0.9611449005194876
All-valid radiance,-0.11223780252919532,-0.11128264703562342,0.11782988606658909,,-0.10240597060108064,0.14074012525260035,0.046495105670760616,0.789673241023999,0.9611449005194876,1.0
